feature,mean_abs_shap
checkout_starts,5.189237
total_events,2.596007
session_duration_sec,1.5956026
page_views,0.75009525
items_viewed,0.33331102
country_United_Kingdom,0.15424886
source__data_deleted_,0.10091317
country_other,0.086152576
device,0.07166353
medium__none_,0.05578488
medium__data_deleted_,0.054813925
cart_to_view_ratio,0.034410037
add_to_cart,0.03346455
checkout_to_cart_ratio,0.031321976
country_United_States,0.026893342
country_India,0.026449883
medium_organic,0.018337222
country_France,0.018217057
source_google,0.015788993
source__Other_,0.014745855
medium_referral,0.0118434485
medium__Other_,0.008120422
source_shop_googlemerchandisestore_com,0.0070530185
medium_cpc,0.00652244
source__direct_,0.0046054367
country_Canada,0.0045013973
country_Germany,0.0039726505
country_China,0.0028875086
country_Taiwan,0.0020361429
country_Italy,0.0015806039
country_Spain,0.0008361635
